base_coin,okx_symbol,bybit_symbol,okx_tick_size,okx_lot_size,okx_min_size,bybit_tick_size,bybit_qty_step,bybit_min_order_qty,bybit_min_notional_value,take
RENDER,RENDER-USDT-SWAP,RENDERUSDT,0.001,1.0,1.0,0.0001,0.1,0.1,5,no
RESOLV,RESOLV-USDT-SWAP,RESOLVUSDT,1e-05,1.0,1.0,1e-05,1.0,1.0,5,yes
RIVER,RIVER-USDT-SWAP,RIVERUSDT,0.001,1.0,1.0,0.001,0.1,0.1,5,yes
RKLB,RKLB-USDT-SWAP,RKLBUSDT,0.01,0.01,0.01,0.01,0.01,0.01,5,no
ROBO,ROBO-USDT-SWAP,ROBOUSDT,1e-05,1.0,1.0,1e-05,10.0,10.0,5,no
RSR,RSR-USDT-SWAP,RSRUSDT,1e-06,1.0,1.0,1e-07,10.0,10.0,5,yes
RVN,RVN-USDT-SWAP,RVNUSDT,1e-06,1.0,1.0,1e-06,1.0,1.0,5,yes
S,S-USDT-SWAP,SUSDT,1e-05,1.0,1.0,1e-05,1.0,1.0,5,yes
SAHARA,SAHARA-USDT-SWAP,SAHARAUSDT,1e-06,1.0,1.0,1e-06,1.0,1.0,5,yes
SAMSUNG,SAMSUNG-USDT-SWAP,SAMSUNGUSDT,0.01,0.01,0.01,0.01,0.01,0.01,5,no
SAND,SAND-USDT-SWAP,SANDUSDT,1e-05,1.0,1.0,1e-05,1.0,1.0,5,yes
SAPIEN,SAPIEN-USDT-SWAP,SAPIENUSDT,1e-05,1.0,1.0,1e-05,1.0,1.0,5,yes
SEI,SEI-USDT-SWAP,SEIUSDT,1e-05,1.0,1.0,1e-05,1.0,1.0,5,yes
SENT,SENT-USDT-SWAP,SENTUSDT,1e-05,1.0,1.0,1e-06,10.0,10.0,5,yes
SHAZ,SHAZ-USDT-SWAP,SHAZUSDT,0.01,0.1,0.1,0.01,0.01,0.01,5,no
SHELL,SHELL-USDT-SWAP,SHELLUSDT,1e-05,1.0,1.0,1e-05,1.0,1.0,5,yes
SIGN,SIGN-USDT-SWAP,SIGNUSDT,1e-06,1.0,1.0,1e-06,10.0,10.0,5,yes
SKHY,SKHY-USDT-SWAP,SKHYUSDT,0.01,0.01,0.01,0.01,0.01,0.01,5,no
SKHYNIX,SKHYNIX-USDT-SWAP,SKHYNIXUSDT,0.01,0.001,0.001,0.01,0.001,0.001,5,no
SKY,SKY-USDT-SWAP,SKYUSDT,1e-05,1.0,1.0,1e-05,10.0,10.0,5,no
SLX,SLX-USDT-SWAP,SLXUSDT,0.0001,1.0,1.0,0.0001,1.0,1.0,5,no
SMCI,SMCI-USDT-SWAP,SMCIUSDT,0.01,0.1,0.1,0.01,0.01,0.01,5,no
SMH,SMH-USDT-SWAP,SMHUSDT,0.01,0.01,0.01,0.01,0.01,0.01,5,no
SNDK,SNDK-USDT-SWAP,SNDKUSDT,0.01,0.001,0.001,0.01,0.01,0.01,5,no
SNX,SNX-USDT-SWAP,SNXUSDT,0.0001,1.0,1.0,0.0001,0.1,0.1,5,yes
SNXX,SNXX-USDT-SWAP,SNXXUSDT,0.01,0.1,0.1,0.01,0.01,0.01,5,no
SOL,SOL-USDT-SWAP,SOLUSDT,0.01,0.01,0.01,0.01,0.1,0.1,5,no
SONY,SONY-USDT-SWAP,SONYUSDT,0.01,0.1,0.1,0.01,0.01,0.01,5,no
SOON,SOON-USDT-SWAP,SOONUSDT,0.0001,0.1,0.1,1e-05,1.0,1.0,5,yes
SOPH,SOPH-USDT-SWAP,SOPHUSDT,1e-06,1.0,1.0,1e-06,10.0,10.0,5,yes
SOXL,SOXL-USDT-SWAP,SOXLUSDT,0.01,0.01,0.01,0.01,0.01,0.01,5,no
SPACE,SPACE-USDT-SWAP,SPACEUSDT,1e-06,1.0,1.0,1e-06,10.0,10.0,5,yes
SPCX,SPCX-USDT-SWAP,SPCXUSDT,0.01,0.01,0.01,0.01,0.01,0.01,5,no
SPK,SPK-USDT-SWAP,SPKUSDT,1e-05,1.0,1.0,1e-06,10.0,10.0,5,yes
SPX,SPX-USDT-SWAP,SPXUSDT,0.0001,1.0,1.0,0.0001,1.0,1.0,5,yes
SPY,SPY-USDT-SWAP,SPYUSDT,0.01,0.01,0.01,0.01,0.01,0.01,5,no
SQQQ,SQQQ-USDT-SWAP,SQQQUSDT,0.01,0.1,0.1,0.01,0.01,0.01,5,no
SSV,SSV-USDT-SWAP,SSVUSDT,0.001,1.0,1.0,0.001,0.01,0.01,5,yes
STABLE,STABLE-USDT-SWAP,STABLEUSDT,1e-05,1.0,1.0,1e-06,10.0,10.0,5,no
STRK,STRK-USDT-SWAP,STRKUSDT,1e-05,1.0,1.0,1e-05,0.1,0.1,5,yes
STX,STX-USDT-SWAP,STXUSDT,0.0001,0.1,0.1,0.0001,0.1,0.1,5,yes
SUI,SUI-USDT-SWAP,SUIUSDT,0.0001,1.0,1.0,0.0001,10.0,10.0,5,no
SUSHI,SUSHI-USDT-SWAP,SUSHIUSDT,0.0001,1.0,1.0,1e-05,0.1,0.1,5,yes
SYRUP,SYRUP-USDT-SWAP,SYRUPUSDT,0.0001,1.0,1.0,1e-05,1.0,1.0,5,yes
TAO,TAO-USDT-SWAP,TAOUSDT,0.1,1.0,1.0,0.01,0.001,0.001,5,no
TER,TER-USDT-SWAP,TERUSDT,0.01,0.01,0.01,0.01,0.01,0.01,5,no
THETA,THETA-USDT-SWAP,THETAUSDT,0.0001,0.1,0.1,1e-05,0.1,0.1,5,yes
TIA,TIA-USDT-SWAP,TIAUSDT,0.0001,1.0,1.0,0.0001,0.1,0.1,5,yes
TQQQ,TQQQ-USDT-SWAP,TQQQUSDT,0.01,0.1,0.1,0.01,0.01,0.01,5,no
TRB,TRB-USDT-SWAP,TRBUSDT,0.01,1.0,1.0,0.001,0.01,0.01,5,yes
TRIA,TRIA-USDT-SWAP,TRIAUSDT,1e-06,1.0,1.0,1e-06,10.0,10.0,5,yes
TRUMP,TRUMP-USDT-SWAP,TRUMPUSDT,0.001,1.0,1.0,0.001,0.1,0.1,5,yes
TRUST,TRUST-USDT-SWAP,TRUSTUSDT,1e-05,1.0,1.0,1e-05,1.0,1.0,5,yes
TRUTH,TRUTH-USDT-SWAP,TRUTHUSDT,1e-06,1.0,1.0,1e-06,10.0,10.0,5,yes
TRX,TRX-USDT-SWAP,TRXUSDT,1e-05,0.01,0.01,1e-05,1.0,1.0,5,no
TSLA,TSLA-USDT-SWAP,TSLAUSDT,0.01,0.01,0.01,0.01,0.01,0.01,5,no
TSM,TSM-USDT-SWAP,TSMUSDT,0.01,0.01,0.01,0.01,0.01,0.01,5,no
TTWO,TTWO-USDT-SWAP,TTWOUSDT,0.01,0.01,0.01,0.01,0.01,0.01,5,no
UB,UB-USDT-SWAP,UBUSDT,1e-05,1.0,1.0,1e-05,10.0,10.0,5,yes
UMA,UMA-USDT-SWAP,UMAUSDT,0.0001,1.0,1.0,0.0001,0.1,0.1,5,yes
UNI,UNI-USDT-SWAP,UNIUSDT,0.001,1.0,1.0,0.001,0.1,0.1,5,no
USAR,USAR-USDT-SWAP,USARUSDT,0.01,0.1,0.1,0.01,0.1,0.1,5,no
USELESS,USELESS-USDT-SWAP,USELESSUSDT,1e-05,1.0,1.0,1e-05,1.0,1.0,5,yes
UVXY,UVXY-USDT-SWAP,UVXYUSDT,0.01,0.1,0.1,0.01,0.01,0.01,5,no
VANA,VANA-USDT-SWAP,VANAUSDT,0.001,1.0,1.0,0.0001,0.01,0.01,5,yes
VIRTUAL,VIRTUAL-USDT-SWAP,VIRTUALUSDT,0.0001,1.0,1.0,0.0001,1.0,1.0,5,yes
VRT,VRT-USDT-SWAP,VRTUSDT,0.01,0.01,0.01,0.01,0.01,0.01,5,no
VVV,VVV-USDT-SWAP,VVVUSDT,0.001,1.0,1.0,0.001,0.01,0.01,5,no
W,W-USDT-SWAP,WUSDT,1e-06,1.0,1.0,1e-06,0.1,0.1,5,no
WAL,WAL-USDT-SWAP,WALUSDT,1e-05,1.0,1.0,1e-05,1.0,1.0,5,yes
WCT,WCT-USDT-SWAP,WCTUSDT,1e-05,1.0,1.0,1e-05,1.0,1.0,5,yes
WDC,WDC-USDT-SWAP,WDCUSDT,0.01,0.01,0.01,0.01,0.01,0.01,5,no
WET,WET-USDT-SWAP,WETUSDT,1e-05,1.0,1.0,1e-05,1.0,1.0,5,yes
WIF,WIF-USDT-SWAP,WIFUSDT,0.0001,1.0,1.0,1e-05,1.0,1.0,5,yes
WLD,WLD-USDT-SWAP,WLDUSDT,0.0001,1.0,1.0,0.0001,0.1,0.1,5,no
WLFI,WLFI-USDT-SWAP,WLFIUSDT,1e-05,1.0,1.0,1e-05,1.0,1.0,5,no
WOO,WOO-USDT-SWAP,WOOUSDT,1e-05,1.0,1.0,1e-06,0.1,0.1,5,yes
XAG,XAG-USDT-SWAP,XAGUSDT,0.01,1.0,1.0,0.01,0.001,0.001,5,no
XAU,XAU-USDT-SWAP,XAUUSDT,0.1,1.0,1.0,0.01,0.001,0.001,5,no
XBI,XBI-USDT-SWAP,XBIUSDT,0.01,0.01,0.01,0.01,0.01,0.01,5,no
XLE,XLE-USDT-SWAP,XLEUSDT,0.01,0.1,0.1,0.01,0.01,0.01,5,no
XLM,XLM-USDT-SWAP,XLMUSDT,1e-05,0.1,0.1,1e-05,1.0,1.0,5,no
XPL,XPL-USDT-SWAP,XPLUSDT,1e-05,1.0,1.0,1e-05,1.0,1.0,5,yes
XRP,XRP-USDT-SWAP,XRPUSDT,0.0001,0.01,0.01,0.0001,0.1,0.1,5,no
XTZ,XTZ-USDT-SWAP,XTZUSDT,0.0001,1.0,1.0,0.0001,0.1,0.1,5,yes
YB,YB-USDT-SWAP,YBUSDT,1e-05,1.0,1.0,1e-05,0.1,0.1,5,yes
YFI,YFI-USDT-SWAP,YFIUSDT,1.0,1.0,1.0,1.0,0.0001,0.0001,5,yes
YGG,YGG-USDT-SWAP,YGGUSDT,1e-05,1.0,1.0,1e-05,0.1,0.1,5,yes
ZAMA,ZAMA-USDT-SWAP,ZAMAUSDT,1e-05,1.0,1.0,1e-05,1.0,1.0,5,yes
ZBT,ZBT-USDT-SWAP,ZBTUSDT,1e-05,1.0,1.0,1e-05,0.1,0.1,5,yes
ZEC,ZEC-USDT-SWAP,ZECUSDT,0.01,1.0,1.0,0.01,0.01,0.01,5,no
ZEN,ZEN-USDT-SWAP,ZENUSDT,0.001,1.0,1.0,0.001,0.1,0.1,5,no
ZETA,ZETA-USDT-SWAP,ZETAUSDT,1e-05,1.0,1.0,1e-05,1.0,1.0,5,no
ZIL,ZIL-USDT-SWAP,ZILUSDT,1e-06,1.0,1.0,1e-06,10.0,10.0,5,no
ZK,ZK-USDT-SWAP,ZKUSDT,1e-05,1.0,1.0,1e-06,0.1,0.1,5,no
ZKP,ZKP-USDT-SWAP,ZKPUSDT,1e-05,1.0,1.0,1e-05,1.0,1.0,5,no
ZORA,ZORA-USDT-SWAP,ZORAUSDT,1e-06,1.0,1.0,1e-06,10.0,10.0,5,no
ZRO,ZRO-USDT-SWAP,ZROUSDT,0.0001,1.0,1.0,0.0001,0.1,0.1,5,no
ZRX,ZRX-USDT-SWAP,ZRXUSDT,1e-05,1.0,1.0,1e-05,1.0,1.0,5,no
